Location;Operator
Bukhara, Uzbekistan;Aeroflot
Maturin, Venezuela;Aerovias Venezolanas SA (Venezuela)
Riverton Heights, Washingon;Harbor Airlines - Air Taxi
Carpathian Mts., near Sibiu, Romania;Tarom
Moscow, Russia;Aeroflot
Near Nha Trang, Vietnam;Air America
Palmer, Washington;Richland Flying Service - Air Taxii
Sierra del Aconquija, Argentina;Military - Argentine Navy
Near Doncello, Colombia;SATENA
Whittier, California;Golden West Airlines / Private
Juneau, Alaska;Channel Flying Service - Air Taxi
Budapest, Hunary;Malev Hungarian Airlines
Sam Neva, Laos;Aeroflot
Istanbul, Turkey;Turkish Airlines (THY)
Santo Domingo, Dominican Republic;Linea Aérea Nacional
Valdez, Alaska;Kenai Air Service - Air Taxi
Houston, Texas;Horizon Properties
Manila, Philippines;Philippine Air Lines
Souda, Crete;Military - Deutsche Luftwaffe
Fairbanks, Alaska;PacifiAlaska Airlines
Medellin, Colombia;Aerocondor
Near Sao Paulo, Brazil;VASP
Waterford, Wisconsin;Burlington Air - Air Taxi
Pleiku, South Vietnam;Air Vietnam (South Vietnam)
Near Barito, Argentina;Military - Argentine Air Force
Singa, Sudan;Sudan Airways
Near Quilcene, Washington;Military - U.S. Air Force
Saigon, Vietnam;Military - U.S. Air Force
Goleta, California;Skips Air Service - Air Taxi
Deadhorse, Alaska;Gay Airways - Air Taxi
Near Sardinata, Colombia;SATENA
Off Cape Paterson, Australia;Air Express
Savoonga, Alaska;Foster Aviation
Near Sakon Nakhon, Thailand;Military - U.S. Air Force
Manila, Philippines;Philippine Air Lines
Pedro Alfonso, Brazil;Varig
JFK Airport, New York, New York;Eastern Air Lines
Toledo, Ohio;Hamilton Aviation
Near Saravena, Colombia;Taxi Aereo El Venado
Nantes, France;Touraine Air Transport
Near Colina, Chile;Military - Chilian Air Force
Bogota, Colombia;Aerovias Condor
Homer, Alaska;Homer Air Service - Air Taxi
Poway, California;Oceanaire Helicopter - Air Taxi
Near Batumi, Georgia, USSR;Aeroflot
Imlay City, Michigan;Military - U.S. Air Force
Taipei, Taiwan;Far Eastern Air Transport
Near Immouzer, Morocco;Alia Royal Jordanian Airlines
Off Amapala, Honduras;Military - Nicaraguan Air Force
Denver, Colorado;Continental Airlines
Krasnovodsk, USSR;Aeroflot
Near Damascus, Syria;Ceskoslovenske Aerolinie
Minford, Ohio;Portsmouth Aviation - Air Taxi
Off Punta Amapala, El Salvador;Military - Nicaraguan Air Force
Near Gambell, Alaska;Wien Air Alaska
Leipzig-Halle, East Germany;Interflug
Near Bahar Dar, Ethiopia;Ethiopian Airlines
Near Palembang, Indonesia;Garuda Indonesia Airlines
Off Beirut, Lebanon;Malev Hungarian Airlines
Klua Tan Tan, Canada;Northern Thunderbird Air
Barranquilla, Colombia;AVIANCA
Cairns Airport, Queensland, Australia;Connair
Zephyr Cove, Nevada;Air Taxi
Tomonoco, Bolivia;TAM (Bolivia)
Near Prague, Czechoslovakia;Inex Adria Aviopromet
Gulf of Mexico;Petroleum Helicopter
State College, Pennsylvania;Quakertown Aviation - Air Taxi
Caoba, Guatemala;Aviateca
Kharkov, Ukraine, USSR;Aeroflot
Near Novgorod (Russia;Aeroflot
Sofia, Bulgaria;Balkan Bulgarian Airlines
Near Bir Lahfan, Egypt;Military - Israel  Air Force
Hertfordshire, England;Private
Elko, Nevada;SceniAirline - Air Taxi
Tacloban, Philippines;Philippine Aerotransport
Rollinsville, Colorado;Star Aviation
Near Al Qaysumah, Saudi Arabia;Middle East Airlines
Moscow, Russia;Aeroflot
Anchorage, Alaska;Winship Air
Grants, New Mexico;Orlando Airways - Air Taxi
Mactan Island, Philippines;Philippine Aerotransport
Near Bogota, Colombia;Taxi Aereo el Venado
Orofino, Idaho;Green Acres - Air Taxi
Near San Borja, Bolivia;Frigorifico Maniqui
Near Loja, Ecuador;TAME
Near Shanghai, China;CAAC
Chapeco, Brazil;Transbrasil
Frunze, Kyrgyzstan;Aeroflot
Lafayette, Louisiana;Falcon Airways - Air Taxi
Off Santa Maria, Colombia;LAC Colombia
Madrid, Spain;Military - U.S. Air Force
Hawk Inlet, Alaska;Temsco Helicopter - Air Taxi
Van Nuys, California;Mercer Airlines
Irkutsk, Russia;Aeroflot
St. Croix, Virgin Islands;Antilles Air
Sibiu, Romania;Tarom
Southeastern Bolivia;TAM (Bolivia)
Near Voronezh, Russia;Aeroflot
Igiugig, Alaska;Kodiak Western Alaska Airlines
San Onofre, California;Sky Haven - Air Taxi
Havana. Cuba;Cubana de Aviacion
Near Puerto Asis, Colombia;SATENA
Ketchikan, Alaska;Alaska Airlines
Friday Harbor, Washington;North Sound Aviation
Aspen, Colorado;Royal American - Air Taxi
Neuquen, Argentina;Yacimientos Petroliferos Fiscales
Palm Desert, California;Chartair - Air Taxi
Gulf of Mexico;Petroleum Helicopter
Anaktuvuk, Alaska;Frontier Flying Service - Air Taxi
St. Thomas, Virgin Islands;American Airlines
Near Monze, Zambia;de Havilland Aircraft
Camuigan, Philippines;Philippine Aerotransport
Kozani, Greece;OlympiAirways
Near Cuneca, Spain;Military - Imperial Iranian Air Force
Chernigov, Ukraine, USSR;Aeroflot
Petersburg, Alaska;Lab Flying Service - Air Taxi
Zamboanga, Philipines;Philippine Air Lines
Nacias Nguema, Equatorial Guinea;Aeroflot
Agana, Guam;Air Manila
Off Kota Kinabalu, Malaysia;Sabah Air
Somerset, Colorado;Sky Chopper  - Air Taxi
Entebbe, Uganda;Air France
Daiku, Burma;Military - Burma Air Force
Huntsville, Missouri;Reed Aviation - Air Taxi
Greensburg, Kansas;Capitol Air Service - Air Taxi
Bratislava, Czechoslovakia;Ceskoslovenske Aerolinie
Billings, Vermont;Mamer - Shreck  - Air Taxi
Near Tehran, Iran;Korean Airlines
;Military - Spanish Air Force
Andes Mountains, Ecuador;SAETA
Sunnyside, Utah;Green River Aviation - Air Taxi
Shanisu River, Peru;Aeroperu
Sondre Stromfjord,Greenland;Military - U.S. Air Force
Near Thorney, England;Military - U.S. Air Force
Ho Chi Minh City, Vietnam;Air France
Lajes, Azores, Portugal;Military - Venezuelan Air Force
Timmins, Ontario, Canada;Austin Airways
Off Adler, Russia;Aeroflot / Aeroflot
Near Gaj, Hrvatska, Yugoslavia;Inex Adria Aviopromet / British Airways
Karatepe Mountains, Turkey;Turkish Airlines (THY)
Near Mosher Creek, Canada;Air West Airlines Ltd.
San Bernardino, California;Loma Linda University - Air Taxi
Near Alpena, Michigan;Military - U.S. Air Force
Nairobi, Kenya;Emirates Air Transport
Off Bridgetown, Barbados;Cubana de Aviacion
Busick, North Carolina;Aero National - Air Taxi
Near Bombay, India;Indian Airlines
Santa Cruz, Bolivia;Lloyd Aéreo Boliviano
Hampton, Virginia;Skyline Aviation - Air Taxi
El Yopal, Colombia;Taxi Aereo el Venado
Near Petrolia, Brazil;Nordeste Linhas Aéreas
Banjarmasin, Indonesia;Bali International Air Service
AtlantiOcean;Inair Panama
Shannon, Ireland;Aeroleasing - Air Taxi
Eastville, Kisangani, Congo;PacifiWestern Airlines
Moscow, Russia;Aeroflot
Grand Canyon, Arizona;Grand Canyon Air - Air Taxi
Cape May, New Jersey;AtlantiCity Airlines
Kiev, USSR;Aeroflot
Near Bangkok, Thailand;EgyptAir
Wisconson;Valley Air Service - Air Taxi
Near Trujillo, Peru;Faucett
Near Palm Springs, California;Jet Avia Charter
Near Alma Ata,  Kazakastan, USSR;Aeroflot
Anchorage, Alaska;Japan Air Lines
Terrace, BC, Canada;Northern Thunderbird Air Ltd.
Kalvesta, Sweden;Skyline Sweden
;North Canada Air
San Ramon, Bolivia;Transportes Aéreos Itenez
Bratislava, Slovakia;Ceskoslovenské Aerolinie
Mineralnye Vody, Russia;Aeroflot
Near Saglouc, Canada;Survair
Off Aden, Yemen;Alyemda
Near Cascina, Italy;Military - Italian Air Force
Niamey, Niger;Overseas National Airways
Saint Louis, Missouri;Fleming International Airways
Tezzeron Lake, British Columbia, Canada;Private
Tenerife, Canary Islands;Pan American World Airways / KLM
Bainaha Valley, Indonesia;Merpati Nusantara Airlines
Near Zhadanof, Russia;Aeroflot
New Hope, Georgia;Southern Airways
SW of Bogota, Colombia;Taxi Aereo el Venado
Tapa AFB, Estonia;Military - Soviet Air Force
Guatemala City, Guatemala;Aviateca
Near Jericho, Jordan;Military - Israel Air Force
Beiruit, Lebanon;LOT Polish Airlines
Near Lusaka, Zambia;IAS Cargo
New York, New York;New  York Helicopter
Havana, Cuba;Aeroflot
Houma, Louisiana;Intracostals - Air Taxi
Natal, Brazil;Military - Brazilian Air Force
Salto-Nueva Hesperides, Uruguay;Fuerza Aérea Uruguaya
Off Wake Island;Military - U.S. Navy
Off Kirovograd, Ukraine;Aeroflot
Near Cuangar, Angola;Military - Angolan Air Force
Jima, Ethiopia;Ethiopian Airlines
Ruby, Alaska;Harold's Air Service
Near Puerto Montt, Chile;Military - Chilean Air Force
Near Yoro, Honduras;Military - Honduran Air Force
Bernard Creek, Idaho;Gaige Aviation - Air Taxi
Encino, California;Private KNBC Los Angeles
Near El Bolson, Argentina;LADE
Engle, New Mexico;Southwest Aviation - Air Taxi
Parkersburg, West Virginia;Rambar Aviation - Air Taxi
San Jose, Costa Rica;Monarch Aviation
Deadhorse, Alaska;Kenai Air Service - Air Taxi
Kona, Hawaii;Island Airways
Off Hong Kong;Transmeridian Air Cargo
Minto Lake, Alaska;Wright Air Service - Air Taxi
Near Cuenca, Ecuador;Servicios Aereos Nacionales Airways
Mt. Iliamna, Alaska;Alaska Aeronautical Industries
Mt. Loi Hsam Hsao, Burma;Burma Airways
Yakutat, Alaska;Safe Air Cargo
Near Albuquerque, New Mexico;Military - U.S. Air Force
Bucharest, Romania;Malev Hungarian Airlines
Salida, Colorado;Salida Flying Service - Air Taxi
Kuala Lumpur,  Malaysia;Japan Air Lines
Stevens Pass, Pennsylvania;Kenmore Air  - Air Taxi
Grand Chenier, Louisiana;Air Logistics
Near Gillsburg, Mississippi;L & J Company
Mindoro, Philippines;Military - U.S. Marine Corps
Belgrade, Yugoslavia;El Al
San Cristobal de las Casas, Mexico;Servicios Aereos Martinez Leon
Near Funchal, Island of Madeira, Portugal;TAP (Air Portugal)
Rome, Italy;Ethiopian Airlines
Near Point Hope, Alaska;Munz Northern Airlines
Near Bariloche, Argentina;Austral Lineas Aeras (Argentina)
Near Beziers, France;Military - French Air Force
Pinehurst, North Carolina;Resort Air Service - Air Taxi
Near Al Bayda, Lebanon;Balkan Bulgarian Airlines
Straits of Johore, near Kampung Ladang, Malaysia;Malaysia Airlines
Intracostal City, Louisiana;Petroleum Helicopter
Tarko-Saley, USSR;Aeroflot
Hierro, Canary Islands;Military - U.S. Navy
Evansville, Indiana;National Jet Services Inc.,  (Air Indiana)
Davenport, Indiana;Straley Flying Service - Air Taxi
Off Madeira, Portugal;SATA
Near Salt Lake City, Utah;United Air Lines
Vieques, Puerto Rico;Vieques Air Link
Nanisivik, Canada;Kenn Borek Air
Giddings, Texas;Aviation Charter - Air Taxi
Willemstad, Curacao, Netherlands Antilles;Valley Air Service
Cuenca, Ecuador;Servicios Aereos Nacionales
Off Bandra, Maharashtra, India;Air India
Marion, Illinois;Aviation Charter - Air Taxi
Dubois, Pennsylvania;Henry Webber Air - Air Taxi
Near San Vincente, Colombia;SADELCA
Eirunepe, Brazil;TABA
Near Artigas, Uruguay;Military - Uruguayan Air Force
Richland, Washington;Columbia PacifiAirlines
Cranbrook, British Columbia, Canada;PacifiWestern Airlines
Genoa Peak, Nevada;Chartair - Air Taxi
Merrill Pass, Alaska;Yute Air Alaska - Air Taxi
Solvang, California;Security Air
LAX, Los Angeles, California;Continental Airlines
Agana, Guam;Island Air
Kano, Nigeria;Nigeria Airways
Off Caracas, Venezuela;LAV - Linea Aeropostal Venezolana
Laurel, Mississippi;Hesler Noble - Air Taxi
Whitelake, Michigan;Wyman Pilot Service - Air Taxi
Vrastsa, Bulgaria;Balkan Bulgarian Airlines
Near Riverside, California;Lake Havasu Air
Okaraba, Burma;Burma Airways
Volta Redonda, Rio de Janeiro, Brazil;Aero Clube de Volta Redonda
Off Galveston, Texas;Air Logistics
St. Thomas, Virgin Islands;Antilles Air
Near Murmansk, Russia;Korean Airlines
Arlington, Indiana;Air Taxi
Upolu, West Samoa;South PacifiIsland Airways
Bogota, Colombia;LAC Colombia
Whittier, AK;Alaska Travel
Pensacola, Florida;National Airlines
Kouchi, Japan;Military - Japan Maritime Self Defense Force
Pochinok, Russia;Aeroflot
Saint John's, Newfoundland;Gander Aviation
Toronto, Canada;Air Canada
Off Bergen, Norway;Helikopter Service
Near Nairobi, Kenya;Amphibians
Sogamoso, Bolivia;Aeropeca
Laboucher Bay, Alaska;Webber Air - Air Taxi
Raton, New Mexico;Air Taxi
Papun, Burma;Burma Airways
Las Vegas, Nevada;Las Vegas Airlines
AtlantiOcean;Antillies Air - Air Taxi
Coal Harbour, BC, Canada;AirWest Airlines
Conakry, Guinea;Air Guinee
Near Kariba, Rhodesia (Zimbabwe);Air Rhodesia
Savoy, Illinois;Air Taxi
Near Mexico City, Mexico;Lineas Areas del Centro
Wrangell, Alaska;Temesco Helicopter - Air Taxi
Paranaque, Philippines;Military - Philippine Air Force
AtlantiOcean;Viking Air Service - Air Taxi
Monroe, Massachusetts;Business Aircraft - Air Taxi
San Diego, California;PacifiSouthwest Airlines / Private
San Juan, Puerto Rico;Francisco Cruz
Near Kuopio, Finland;Military - Finish Air Force
Near Mandalay, Myanmar;Burma Airways
Sverdlovsk, Russia;Aeroflot
Kenai, Alaska;Era Helicopter - Air Taxi
Off Bellona, Solomon Islands;Solomon Islands Airlines
Gulf of Sivash, USSR;Aeroflot
Torreon, New Mexico;Don Zimmerman - Air Taxi
Belém, Brazil;Taxi Aéreo Kovacs
Off Alexandria, Egypt;Nile Delta Air Services
Lubbox, Texas;Astrd Wing Aviaiton - Air Taxi
Near Katunayake, Sri Lanka;Loftleidir IcelandiAirlines
Hays, Kansas;Festus Flying Service - Air Taxi
Off Marie Galante Island, West Indies;Air Guadeloupe
Near Leh, India;Military - Indian Air Force
Near Rubio, Venezuela;Taxi Aereo el Venado
Hydaburg, Alaska;Tyee Airlines - Air Taxi
Hartford, Connecticut;Corporate Air - Air Taxi
Near Steamboat Springs, Coloado;Rocky Mountain Airways
Selvapiana, Italy;Air 70
Hyderabad, India;Indian Airlines
Morton, Illinois;Galesburg Aviation - Air Taxi
Chevak, Alaska;Chugiak Aviation - Air Taxi
Near Cinisi, Sicily, Italy;Alitalia
Turks & Caicos Islands, Caribbean;Haïti Air Inter
Portland, Oregon;United Air Lines
Templeton, Massachusetts;Nash and Tampo - Air Taxi
Minsk, Russia;Aeroflot
Near Belgorod, Russia;Aeroflot
Grand Rapids, Michigan;L.J. Simmons - Air Taxi
Bechar, Algeria;Air Algerie
Rodez, France;Air Rouergue
Trebinje, Bosnia Herzegovina;Aeropol
Near Agudos, Brazil;TAM Lineas Aéreas Regional
Clarksburg, West Virginia;Allegheny Airlines
Near Kariba, Rhodesia;Air Rhodesia
Manakau Harbor, New Zealand;Air New Zealand
Barentu, Ethiopia;Ethiopian Airlines
Near Moanda, Gabon;Air Gabon
Greensville, Mississippi;Air Service - Air Taxi
Gulfport, Mississippi;Universal Airways
Galesburg, Illinois;Agee Flying Service - Air Taxi
Near Probolinggo, Indonesia;Garuda Indonesia Airlines
Off Marina del Rey, California;Swift Aire Lines Inc.
Near Doha Airport, Qatar;Alia Royal Jordanian Airlines
Bejing, China;CAAC
Near Moscow, Russia;Aeroflot
Chardzhow, Russia;Aeroflot
Liepaya, Latvia;Aeroflot
Nightmute, Alaska;Village Aviation - Air Taxi
Luanda, Angola;Interflug
Ste. Foy, PQ, Canada;Quebecair
Carrizozo, New Mexico;SW Air Rangers - Air Taxi
Off Avalon, California;Catalina Airlines
Newark, New Jersey;New York Airways
Near Cuenca, Ecuador;SAETA
Baykity, Russia;Aeroflot
Chicago O'Hare, Illinois;American Airlines
Shungnak, Alaska;Ambler Air Service
Bullen Point, Alaska;Sea Airmotive
Off Dakar, Senegal;Military - Mauritanian Air Force
Rockland, Maine;Downeast Airlines
Near Leh, India;Military - Indian Air Force
Chicago, Illinois;Skystream Airlines
Hyannis, Massachusetts;Air New England
Near Medan Airfield, Indonesia;Garuda Indonesia Airlines
Anchorage, Alaska;Soldotna Air Services
Bua, Fiji;Fiji Air Services
Off Honolulu, Hawaii;Trans National Airlines
Beirut, Lebanon;Trans Mediterranean Airways
St. Croix, Virgin Islands;Prinair
Off Sumburgh, Shetlands, England;Dan Air Services
Canton, Ohio;Private
Leningrad, USSR;Aeroflot
Near Panvel, India;Indian Airlines
Pistol Creek, Idaho;Boise Air Service
Flushing, New York;Southern Jersey Air - Air Taxi
Near Katab, Egypt;Bahri Aviation
Dneprodzerzhinsk, Ukraine, USSR;Aeroflot / Aeroflot
Bogota, Colombia;SATENA
Near Enisseysk, USSR;Aeroflot
Near Kirsanov, Russia;Aeroflot
Frobisher Bay, Canada;Bradley Air Services
Andema, Russia;Aeroflot
Nice, France;Sterling Airways
Off Taipei, Taiwan;China Airlines (Taiwan)
Near Klamath Falls, Oregon;Butler Aviation Inc.
Near Sarroch,  Italy;Aero Transporti Italiani
Blink Horn Point, Canada;PacifiCoastal Airlines
Merced, California;Military - U.S. Air Force
Porpoise Bay, British Columbia Canada;West Coast Air
Juneau, Alaska;Southeast Skyways - Air Taxi
Covington, Kentucky;Comair
Athens, Greece;Swissair
Anchorage, Alaska;Spernak Airway - Air Taxi
Bloomington, Indiana;Rhoadgs Aviation - Air Taxi
Near San Ysidro, California;
Tijuana, Mexico;Procurator Generale de la Republica
Mexico City, Mexico;Western Airlines
Big Trout Lake, Canada;Austin Airways
Greenville, South Carolina;Bankair Inc. - Air Taxi
Salem, Oregon;McKenzie Flying Service - Air Taxi
Near Chicago, Illinois;American Airlines
Vologda, Russia;Aeroflot
Granger, Utah;Transamerica Airlines
Takla Narrows, British Columbia, Canada;Smithers Air Service
Near At Ta'if, Jeddah, Saudi Arabia;Pakistan International Airlines
Near Mt. Erebus, Ross Ice Shelf, Antarctica;Air New Zealand
San Andres Island, Colombia;Aerolineas La Gaviola
Nome, Alaska;Evergreen Helicopter - Air Taxi
Cherskiy, Russia;Aeroflot
Apolo, Bolivia;CAMBA
Cerro Toledo Mountain, Colombia;SATENA
Near Puerto Esperanza, Peru;Fuerza Aérea del Peru
Ankara, Turkey;Turkish Airlines (THY)
Menari, Papua New Guinea;Douglas Airways
Haiti;Haïti Air Inter
Over the AtlantiOcean;Private charter
Elburz Mtns., near Laskarak, Markazi, Iran;Iran National Airlines
Mt. Cemonyet,  Indonesia;Pelita Air Service
Near Mandalay, Burma;Military - Union of Burma Air Force
Baracoa, Cuba;Cubana de Aviacon
Sydney, NSW, Australia;Advance Airlines
Leeville, Louisiana;Rotor Airs In- Air Taxi
Near Agra, India;Military - Indian Air Force
Manila, Philippines;China Airlines (Taiwan)
Near Warsaw, Poland;LOT Polish Airlines
Near Yenice, Turkey;Military - U.S. Air Force
Houston, Texas;Eagle Commuter
Off Macae, Brazil;VOTEC
Deer Lake, Canada;Tomahawk Airways
Cuiaba, Brazil;VoteTaxi Aéreo
Florianopolis, Brazil;Transbrasil
Posht-i-Badam, Iran;Military - U.S. Air Force
Tenerife, Canary Islands;Dan Air Services
Don Muang, Thailand;Thai Airways
Campinas, Brazil;VoteTaxi Aéreo
Off Varadero, Cuba;Cubana de Aviacion
Near Rio Hacha, Colombia;Transportes Aereos del Caribe
Off Sarasota, Florida;Northeast Jet
Gran Canaria Island, Spain;Spanish Air Force
Near Yachiba, Bolivia;Lloyd Aereo Boliviano
Near Matala, Angola;Lineas Aereas de Angola
Valley, Nebraska;Air Wisconsin
Near Dushanbe, Russia;Aeroflot
Lihue, Hawaii;Aero PaLease - Air Taxi
Tyrrhenian Sea,  off Ustica, Italy;Itavia
Near Tepic, Mexico;IMSS
Nar Alma-Ata, Kasakastan, USSR;Aeroflot
Golovin, Alaska;Ryan Air Services
Tusayan, Arizona;SceniAirlines
Philadelphia, Pennsylvania;Air Pennsylvania - Air Taxi
Cerro Lilio, Mexico;Aeronaves del Peru
Togiak, Alaska;Yute Air Alaska - Air Taxi
Houma, Louisiana;Air Logistics
Nouadhibou, Mauretania;Tarom
Rio de Janeiro, Brazil;Prospec
Sa Cabaneta, Spain;Spantax
Qatar, Qatar;Saudi Arabian Airlines
Ramstein AFB, West Germany;Military - U.S. Air Force
Near Riyadh, Saudi Arabia;Saudi Arabian Airlines
Near Jakarta, Indonesia;Bouraq Indonesia Airlines
Near Montelimar, France;Military - Kuwait Air Force
Puerto Olaya, Colombia;Aeronorte Colombia
Off Freeport, Bahamas;Florida Commuter Airlines
Kindu, Zaire;Military - Force Aérienne Zaïroise
Near Medina, Saudi Arabia;Military - Royal Saudi Air Force
Near Kindu, Zaire;Military - Zairean Air Force
Mount Smjorfjollum, Iceland;Flugfelag Austurlands
Badakshan, Afghanistan;Military - Soviet Air Force
Gainsville, Florida;Tampa Air Center - Air Taxi
Caracas, Venezuela;Fuerza Aérea Venezolana
Near Cairo, Egypt;Military - U.S. Air Force
Annanberg, Papua New Guinea;Provincial Air Services
Seoul, South Korea;Korean Airlines
Near Medellin, Colombia;F.R. de la Direccion General de Ados
Pecos City, Texas;Central Air Services
Dar es Salaam, Tanzania;Tanzania Aviation
Michigan City, IN;Queen Airmotive - Air Taxi
Cold Bay, Alaska;Penninsula Airways - Air Taxi
Tumut,, Australia;Eagle Airways
Mt. Elena, Colombia;Aeropesca Colombia
Spokane, Washington;Cascade Airways
Winnemucca, Nevada;Orcon Inc. - Air Taxi
Near Leningrad, Russia;Military - Soviet Navy
Houma, Louisiana;Walker - Watts Aviation - Air Taxi
White Plains, New York;Private - Corporate
Avalon, California;Helicopter - Air Taxi
Belem, Brazil;VOTEC
North Adams, Massachusetts;Berkshire Aviation - Air Taxi
Off Tabones Island  Philippines;Military - U.S. Air Force
Fallon, Nevada;Air Chaparral - Air Taxi
Moroni, Comoro Islands;Military - French Naval Aviation
Shemya AFB, Alaska;Military - U.S. Air Force
Redzikowo, Poland;LOT Polish Airlines
Galena, Alaska;Galena Air Service - Air Taxi
Mt. Hagen, Papua, New Guinea;Talair
Laguna Soliz, Bolivia;Urcupina
Cincinnati, Ohio;Freedom International
Loveland, Colorado;Air US / Private
Pekanbaru, Indonesia;Airfast Indonesia
Near Fredrick, Maryland;Military - U.S. Air Force
Rio de la Plata, Argentina;Austral Lineas Aeras (Argentina)
Near Menongue, Angola;TAAG Angola Airlines
Pinarete Mountain, Mexico;Lineas Aereas
Near Zumba, Ecuador;TAME
Near Guachala, Ecuador;Military - Ecuadorean Air Force
Avalon, California;Shanair Inc. - Air Taxi
Cairo, Egypt;Military - Egyptian Air Force
Ust-Barguzin, Russia;Aeroflot
Hualien, Taiwan;Taiwan Airlines
Miraflores, Colombia;Taxi Aéreo el Venado
Nailstone, England;Dan Air Services
Muskegon, Michigan;G & W Aviation
Near Yerevan, Armenia;TAR
Mogadishu, Somalia;Somali Airlines
Kansas City, Kansas;Air Taxi
Madagascar;Air Madagascar
Caruru, Colombia;Transamazonica
Chihuahua, Mexico;Aeromexico
Skagway, Alaska;Skagway Air Service - Air Taxi
Near Sanyi, Miao-li, Taiwan;Far Eastern Air Transport
Near Zavitinsk, Russia;Aeroflot / Military - Russian Air Force
Zeya, Russia;Aeroflot
Paipa, Colombia;Taxi Aereo el Venado
Zeleznogorsk, Russian;Aeroflot /Military - Russian
Nellis AFB, Nevada;Military - U.S. Air Force
Near Babaeski, Turkey;Military - Turkish Air Force
Tehran, Iran;Military - Iranian Air Force
Casper, Wyoming;Sky Train Air
Moerdijk, Netherlands;NLM (Nederlandse Luchtvaart Maatschappij)
Kufstein, Austria;Oefag Flugdienst
St. Thomas, U.S. Virgin Islands;Aerolineas Argo
Bafoussam, Cameroon;Cameroon Airlines
Sierra de Guerro, Mexico;Aeromexico
Mount Pocono, Pennsylvania;Moyer Aviation - Air Taxi
Norilsk, Russia;Aeroflot
Biratnagar, Nepal;Royal Nepal Airlines
Castries, Saint Lucia Island;Guyana Airways
Mt. San Pietro, near Ajaccio, Corsica, France;Inex Adria Aviopromet (Yugoslavia)
Honolulu, Hawaii;Private - Parajump air show
Tyonek, Alaska;Spernak Airways - Air Taxi
Mt. McKinley, AK;Hudson Air Service - Air Taxi
Kuala Belait, Brunei;Bristow Helicopters
Near Covenas, Colombia;ACES Colombia
Cape Town, South Africa;Linair Express
Durango, Colorado;Sun West Airline - Air Taxi
Near Gelendzhik, USSR;Aeroflot
Helena, Montana;Air Taxi
Washington, D.C.;Air Florida
Near Addis Ababa, Ethiopia;Military - Ethiopian Air Force
Logan Airport,  Boston, Massachusett;World Airways
Constanta, Romania;Tarom
Djibouti, Djbouti;Military - French Air Force
Island of Cheju, South Korea;Military - Republiof South Korea Air Force
Near Srinagar, India;Military - Indian Air Force
Tokyo, Japan;Japan Air Lines
Mt. Ipao, Philippines;Trans Air Services
Cerro el Tablazo, Colombia;LAC Columbia
Providence, Rhode Island;Pilgrim Airlines
Mehamn, Norway;Wideroe's Flyveselksap
Mount Galunggung, Indonesia;British Airways
Southern Belarus, USSR;Aeroflot
Leesburg, Florida;Private
Near Woodstock, Illinois;Military - U.S. Air Force
Branti Airport, Indonesia;Garuda Indonesia Airlines
Queate, Colombia;Aeropesca Colombia
Near Tanana, Alaska;Air Taxi
Near Erzurum, Turkey;Military - U.S. Air Force
Near Yangshuo, Guangxi, China;CAAC
Hakalau, Hawaii;Air Taxi
Gulf of Thailand;Okanagan Helicopters
Off Aden, Yemen;Alyemda
Judsonia, Arkansas;Military - U.S. Air Force
South AtlantiOcean;Military - Royal British Navy
Brazilia, Brazil;VASP
Off Natuma Island, Indonesia;Pelita Air Service
Near Songnam-si, South Korea;Military - Republiof South Korea Air Force
Near Pacatuba, Brazil;VASP
Tabatinga, Brazil;TABA
Bombay, India;Air India
Oganda, Gabon;Air Affaires Gabon
Near Moscow, Russia;Aeroflot
Kenner, Louisiana;Pan American World Airways
Jolo, Philippines;Philippine Air Lines
Oxbow, Oregon;Air Taxi
Castaic, California;Western Helicopter
Near Sitka, Alaska;Air Taxi
Concord, New Hampshire;Air Taxi
PacifiOcean;Pan American World Airways
Mindat, Myanmar;Burma Airways
Sukhumi, Georgia, USSR;Aeroflot / Aeroflot
Near Managua, Nicaragua;Military - Nicaraguan Air Force
Off Castries, Saint Lucia;Inter Island Air Services
Knotsville, Tennessee;Military - U.S. Air Force
Near Valladolid, Ecuador;Aerolineas Condor
Rio Branco, Brazil;Cia Brasiliera de Tratores
Near Mannheim, West Germany;Military - U.S. Army
Near Malaga, Spain;Spantax
Near Nondalton, Alaksa;Air Taxi
Two Bridge Lake, British Colombia, Canada;Central Mountain Air Services
Near Kotzbue, Alaska;Air Taxi
Luxembourg, Luxembourg;Aeroflot
AtlantiOcean;Air Taxi
Off Taiwan;Far Eastern Air Transport
Cullman, Alabama;Air Taxi
Lubango, Angola;TAAG Angola Airlines
Quetame, Colombia;Aerolineas Centrales de Colombia
Douglassville, Pennsylvania;Air Taxi - Basco Flying Service Inc.
Near Pueblo, Colorado;Pioneer Airlines
Near San Andres de Bocay, Nicaragua;Military - Nicaraguan Air Force
Near Klawock, Alaksa;Air Taxi - Tyee Airlines Inc.
La Serena, Chile;Aeronor Chile
Defiance, Ohio;Air Taxi - Custom Air Transport Inc.
Mesvres, France;Rijnmond Air Services
Rostov-on-Don, Russia;Aeroflot
Guangzhou, China;CAAC
Brainerd, Minnesota;RepubliAirlines
Detroit, Michigan;United Air Lines
Near Karimui, Papua New Guinea;Talair
Ankara, Turkey;Turkish Airlines (THY)
Fayetteville, North Carolina;Military - U.S. Air Force
Brooksville, Florida;Air Taxi
