Location;Operator
Burbank, California;PacifiAir Transport
Wampit, Australia;Guiena Airways
Bellefonte, Pennsylvania;National Air Transport
Near Sandoway, Burma;Air Orient
Walbridge, Ohio;Rubner Flying Service
Saarbrucken, Germany;Deutsche Lufthansa
Chicago, Illinois;Braniff Airlines
Temora, Australia;Australian Aerial Services
Centralia, Illinois;American Airways
Kurudjevo, Bulgaria;CIDNA
Cincinnati, Ohio;American Airways
Chicago, Illinois;Chicago-Detroit Airways
Oakland, California;PacifiAir Transport
Novia Scotia, Canada;Deutsche Lufthansa
Brazil;Syndicato Condor
Camden, New Jersey;NY, Phil., Washington AW
Sir Lowry's pass, South Africa;Union Airways
Salt Lake City, Utah;Boeing Air Transport
Near Tsinan, China;China National Aviation Corporation
Pasco, Washington;Varney Air Lines
Kewanee, Illinois;Braniff Airways
Bangkok, Thailand;KLM Royal Dutch Airlines
Off Algiers;Aeropostale
Springfield, Ohio;American Airways
Colvin Park, Ilinois;Northwest Airways
Lebec, California;Century PacifiLines
Off Miami, Florida;Bimini Airways
Marcellus, Michigan;Transamerican Airlines
Rio Vista, California;Boeing Air Transport
Off Setiba, Brazil;Aeropostale
Saint Louis, Illinois;Century Air Lines
Calimesa, California;American Airways
Steubenville, Ohio;Trans Continental and Western Air
Syria;Air Orient
Bedford, Ohio;National Air Transport
Fort Wayne, Indiana;Transamerica Airlines
Portland, Oregon;Varney Air Lines
Burbank, California;PacifiAir Transport
Mount El Plomo, near Vitacura, Chile;Panagra
Beyrouth, Lebanon;Air Orient
Tubergen, Germany;A B Aerotransport
Salt Flats, Texas;American Airways
Selsdon Park, England;Air Union
Byron Bay, Australia;New England Airways
Port Etienne, Mauritania;Aeropostale
Villa Monte, Bolivia;Lloyd Aero Boliviano
Ramsgate, England;Deutsche Lufthansa
Echterpfuhl, Germany;Deutsche Lufthansa
Marianna, Arkansas;Hunter Airways
Amarillo, Texas;Trans Continental and Western Air
Rocky Ridge, Colorado;Boeing Air Transport
Wau, Australia;Guinea Airways
Algiers;Aeropostale
Newark, New Jersey;Eastern Air Transport
Marietta, Georgia;American Airways
Bourne, Texas;American Airways
Eugene, Oregon;PacifiAir Transport
Near Mendoza, Argentina;Pan American Grace Airways
Hayward, California;Varney Airlines
Near Dixmude, Belgium;Imperial Airways
Hemkenrode, Germany;Deutsche Lufthansa
Off Barnegat, New Jersey;Military - U.S. Navy
Mt. Terrione, Italy;Air Orient
Traunstein, Germany;Eurasia
Viladrau, Spain;Aeropostale - La Tecoere Company
Bowling Green, Virginia;Eastern Air Transport
Quay, New Mexico;Trans Continental and Western Air
Ljubljana, Yugoslavia;Aeroput
Chesterton, Indiana;United Air Lines
Etobon, France;Air France
Portland, Oregon;United Air Lines
Moriarty, New Mexico;Trans Continental and Western Air
Near Tsinan, China;China National Aviation Corporation
Near Kharkov, Ukraine, USSR;Kalinin
Wedron, Illinois;National Air Transport
Hamburg, Germany;Deutsche Lufthansa
Eshowe, South Africa;Union Airways
Near Ruysselede, Belgium;Imperial Airways
Corbigny, France;Air France
Carombe, France;Air France
Near Salt Lake City, Utah;Boeing Aircraft Company
Rio de Oro, Morocco;Air France
Petersburg, Illinois;American Airways
Pereira, Colombia;Pan American Airways (Scadta)
Near Lima, Peru;Pan American Grace Airlines
Ningpo Bay, China;China National Aviation Corporation
English Channel;Air France
Croydon, England;Air France
Mongaup Mountain, New York;American Airways
Junin, Argentina;Panagra
Chausseehausen, Germany;Deutsche Lufthansa
Burbank, California;Aerevias Centrales Air Service
San Bernardino, California;United Air Services
Near Tuttlingen, Germany;Swissair
Bahia, Brazil;Air France
Ningbo, China;China National Aviation Corporation
Amazonia, Missouri;Rapid Air Transport
Near Winton, Australia;Qantas
Bass Strait, Australia;Holyman Airways
Kiapit, Australia;Holdens Air Transport Service
Near Longreach, Australia;Qantas
Near Longreach, NSW, Australia;Qantas
Amazonia, Montana;Rapid Air Transport
Salchau, Germany;Deutsche Lufthansa
Columbia, Missouri;Braniff Airlines
Palma Soriano, Cuba;Cubana de Aviacion
Rutbah Wells, Syria;KLM Royal Dutch Airlines
Sunbright, Tennessee;American Airlines
Pittsburgh, Pennsylvania;Trans Continental and Western Air
Stettin, Germany;Deruluft
Schievelbein, Germany;Deruluft
El Arish, Egypt;Misrair
Off Samland, Germany;Deutsche Lufthansa
Beauvais, France;Air France
Brilon, Germany;KLM Royal Dutch Airlines
Near Walsenberg, Colorado;Varney Air Lines
Atlanta, Missouri;Trans Continental and Western Air
Flint, Michigan;Knowles Flying Service of Detroit
Near Moscow, Russia;Gor'ky Eskadril'ya
Glendo, Wyoming;Wyoming Air Service
Maywood, Illinois;Chicago and Southern Airlines
San Barbra, Honduras;
Medellin, Colombia;Servicio Aereo Columbiano / SCADTA
Amsterdam, Netherlands;KLM Royal Dutch Airlines
Off Chandeleur Island, Mississippi;Wedell-Williams Air Service Corporation
Pian Giacomo, Switzerland;KLM Royal Dutch Airlines
Hangow, China;China National Aviation Corporation
Near Gilmer, Texas;Delta Air Lines
Near Glendo, Wyoming;Aero Mayflower Transit Co
Walakpa, near Point Barrow, Alaska;Private
Burbank, California;Western Air Express
Off Finders Island, Victoria, Australia;Holyman Airways
Near Cheyenne, Wyoming;United Air Lines
Gulf of Finland;Aero O-Y
Troy, New York;Chamberlin Flying Service
Cheyenne, Wyoming;United Air Lines
Off Nhambupe, Brazil;Air France
Near Juticalpa, Honduras;TACA
Near Fort Worth, Texas;Braniff Airlines
Istres, France;Air France
Tours, France;Air Bleu
Croydon, England;Sabena
Breslau, Germany;Deutsche Lufthansa
Off Alexandria, Egypt;Imperial Airways
Goodwin, Arkansas;American Airlines
